"Fri, 24 Jul 2020 10:00:58 AM GMT"
State of Palestine,13722,94,Asia
Bosnia and Herzegovina,13687,394,Europe
Bulgaria,13014,435,Europe
Madagascar,12708,135,Africa
Sudan,11780,763,Africa
North Macedonia,11554,519,Europe
Senegal,10887,225,Africa
Norway,9503,256,Europe
DR Congo,9355,218,Africa
Malaysia,9063,125,Asia
French Guiana,8127,47,South America
Gabon,7787,51,Africa
Tajikistan,7706,62,Asia
Guinea,7664,49,Africa
Haiti,7582,171,North America
Finland,7554,331,Europe
Zambia,7486,200,Africa
Luxembourg,7113,119,Europe
Mauritania,6444,157,Africa
Paraguay,6375,66,South America
Albania,6151,189,Europe
Lebanon,5672,70,Asia
Croatia,5466,155,Europe
Djibouti,5334,59,Africa
Greece,5270,210,Europe
Libya,4879,107,Africa
Equatorial Guinea,4821,83,Africa
Maldives,4680,19,Asia
Hungary,4621,602,Europe
Central African Republic,4620,59,Africa
Malawi,4491,137,Africa
Zimbabwe,4395,97,Africa
Hong Kong,3939,46,Asia
Nicaragua,3902,123,North America
Montenegro,3549,61,Europe
Congo,3546,58,Africa
Thailand,3345,58,Asia
Somalia,3227,93,Africa
Mayotte,3042,39,Africa
Eswatini,2968,55,Africa
Sri Lanka,2839,11,Asia
Cuba,2829,88,North America
Namibia,2802,16,Africa
Cabo Verde,2734,27,Africa
Mali,2552,124,Africa
Slovakia,2523,31,Europe
South Sudan,2450,47,Africa
Slovenia,2233,125,Europe
Lithuania,2194,81,Europe
Estonia,2133,63,Europe
Mozambique,2120,15,Africa
Rwanda,2111,5,Africa
Suriname,2096,29,South America
Guinea-Bissau,2032,27,Africa
Iceland,1952,10,Europe
Benin,1936,38,Africa
Sierra Leone,1877,67,Africa
Yemen,1768,508,Asia
Tunisia,1642,51,Africa
New Zealand,1569,22,Australia/Oceania
Angola,1483,64,Africa
Uruguay,1318,37,South America
Latvia,1281,32,Europe
Uganda,1254,6,Africa
Jordan,1237,11,Asia
Liberia,1224,78,Africa
Cyprus,1222,19,Asia
Georgia,1213,17,Asia
Burkina Faso,1158,54,Africa
Niger,1153,69,Africa
Togo,1012,22,Africa
Syria,999,48,Asia
Malta,995,9,Europe
Jamaica,958,12,North America
Andorra,955,52,Europe
Chad,942,76,Africa
Gambia,935,16,Africa
Sao Tome & Principe,878,15,Africa
Botswana,804,2,Africa
Vietnam,784,10,Asia
Bahamas,761,14,North America
Lesotho,742,23,Africa
San Marino,699,42,Europe
Réunion,671,5,Africa
Channel Islands,597,47,Europe
Guyana,538,22,South America
Tanzania,509,21,Africa
Taiwan,477,7,Asia
Burundi,400,1,Africa
Comoros,396,7,Africa
Myanmar,359,6,Asia
Mauritius,344,10,Africa
Isle of Man,336,24,Europe
Mongolia,293,0,Asia
Faeroe Islands,291,0,Europe
Eritrea,282,0,Africa
Guadeloupe,279,14,North America
Martinique,276,15,North America
Aruba,263,3,North America
Cambodia,243,0,Asia
Trinidad and Tobago,217,8,North America
Cayman Islands,203,1,North America
Gibraltar,190,0,Europe
Papua New Guinea,188,3,Australia/Oceania
Sint Maarten,176,16,North America
Bermuda,157,9,North America
Brunei ,142,3,Asia
Turks and Caicos,141,2,North America
Barbados,133,7,North America
Seychelles,126,0,Africa
Monaco,125,4,Europe
Belize,114,2,North America
Bhutan,108,0,Asia
Antigua and Barbuda,92,3,North America
Liechtenstein,89,1,Europe
French Polynesia,64,0,Australia/Oceania
St. Vincent & Grenadines,56,0,North America
Saint Martin,53,3,North America
Macao,46,0,Asia
Curaçao,31,1,North America
Fiji,27,1,Australia/Oceania
Saint Lucia,25,0,North America
Timor-Leste,25,0,Asia
Grenada,24,0,North America
New Caledonia,22,0,Australia/Oceania
Laos,20,0,Asia
Dominica,18,0,North America
Saint Kitts & Nevis,17,0,North America
Greenland,14,0,North America
Montserrat,13,1,North America
Caribbean Netherlands,13,0,North America
Falkland Islands,13,0,South America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
British Virgin Islands,9,1,North America
Saint Barthelemy,9,0,North America
Saint Pierre & Miquelon,4,0,North America
Anguilla,3,0,North America
 
"Fri, 07 Aug 2020 05:18:10 PM GMT"
 Country , Number of cases , Deaths , Continent 
United States,5050581,163140,North America
Brazil,2927807,98844,South America
India,2085124,42554,Asia
Russia,877135,14725,Europe
South Africa,538184,9604,Africa
Mexico,462690,50517,North America
Peru,455409,20424,South America
Chile,368825,9958,South America
Colombia,357710,11939,South America
Spain,354530,28500,Europe
Iran,322567,18132,Asia
United Kingdom,309005,46511,Europe
Saudi Arabia,285793,3093,Asia
Pakistan,282645,6052,Asia
Bangladesh,252502,3333,Asia
Italy,249756,35190,Europe
Turkey,237265,5798,Asia
Argentina,228195,4291,South America
Germany,215882,9253,Europe
France,195633,30312,Europe
Iraq,144064,5236,Asia
Philippines,122754,2168,Asia
Indonesia,121226,5593,Asia
Canada,118561,8966,North America
Qatar,112383,180,Asia
Kazakhstan,96922,1058,Asia
Egypt,95006,4951,Africa
Ecuador,91969,5897,South America
Bolivia,86423,3465,South America
China,84565,4634,Asia
Sweden,82323,5763,Europe
Oman,81067,502,Asia
Israel,80991,581,Asia
Ukraine,78261,1852,Europe
Dominican Republic,77709,1259,North America
Belgium,72016,9861,Europe
Panama,71418,1574,North America
Kuwait,70727,471,Asia
Belarus,68614,583,Europe
United Arab Emirates,62061,356,Asia
Romania,59273,2616,Europe
Netherlands,57501,6154,Europe
Guatemala,55270,2168,North America
Singapore,54797,27,Asia
Portugal,52351,1746,Europe
Poland,50324,1787,Europe
Honduras,45755,1446,North America
Nigeria,45244,930,Africa
Japan (+Diamond Princess),42975,1039,Asia
Bahrain,42889,158,Asia
Ghana,40097,206,Africa
Armenia,39985,777,Asia
Kyrgyzstan,39162,1451,Asia
Afghanistan,37015,1307,Asia
Switzerland,36269,1986,Europe
Algeria,33626,1273,Africa
Azerbaijan,33376,483,Asia
Morocco,30662,461,Africa
Uzbekistan,28809,179,Asia
Serbia,27608,626,Europe
Moldova,26990,835,Europe
Ireland,26470,1772,Europe
Kenya,24411,399,Africa
Venezuela,23280,202,South America
Nepal,22214,70,Asia
Austria,21837,720,Europe
Costa Rica,21070,200,North America
Ethiopia,20900,365,Africa
Australia,20272,266,Australia/Oceania
El Salvador,19544,520,North America
Czech Republic (Czechia),17896,389,Europe
Cameroon,17718,391,Africa
Côte d'Ivoire,16447,103,Africa
South Korea,14519,303,Asia
Denmark,14442,617,Europe
State of Palestine,13722,94,Asia
Bosnia and Herzegovina,13687,394,Europe
Bulgaria,13014,435,Europe
Madagascar,12708,135,Africa
Sudan,11780,763,Africa
North Macedonia,11554,519,Europe
Senegal,10887,225,Africa
Norway,9503,256,Europe
DR Congo,9355,218,Africa
Malaysia,9063,125,Asia
French Guiana,8127,47,South America
Gabon,7787,51,Africa
Tajikistan,7706,62,Asia
Guinea,7664,49,Africa
Haiti,7582,171,North America
Finland,7554,331,Europe
Zambia,7486,200,Africa
Luxembourg,7113,119,Europe
Mauritania,6444,157,Africa
Paraguay,6375,66,South America
Albania,6151,189,Europe
Lebanon,5672,70,Asia
Croatia,5466,155,Europe
Djibouti,5334,59,Africa
Greece,5270,210,Europe
Libya,4879,107,Africa
Equatorial Guinea,4821,83,Africa
Maldives,4680,19,Asia
Hungary,4621,602,Europe
Central African Republic,4620,59,Africa
Malawi,4491,137,Africa
Zimbabwe,4395,97,Africa
Hong Kong,3939,46,Asia
Nicaragua,3902,123,North America
Montenegro,3549,61,Europe
Congo,3546,58,Africa
Thailand,3345,58,Asia
Somalia,3227,93,Africa
Mayotte,3042,39,Africa
Eswatini,2968,55,Africa
Sri Lanka,2839,11,Asia
Cuba,2829,88,North America
Namibia,2802,16,Africa
Cabo Verde,2734,27,Africa
Mali,2552,124,Africa
Slovakia,2523,31,Europe
South Sudan,2450,47,Africa
Slovenia,2233,125,Europe
Lithuania,2194,81,Europe
Estonia,2133,63,Europe
Mozambique,2120,15,Africa
Rwanda,2111,5,Africa
Suriname,2096,29,South America
Guinea-Bissau,2032,27,Africa
Iceland,1952,10,Europe
Benin,1936,38,Africa
Sierra Leone,1877,67,Africa
Yemen,1768,508,Asia
Tunisia,1642,51,Africa
New Zealand,1569,22,Australia/Oceania
Angola,1483,64,Africa
Uruguay,1318,37,South America
Latvia,1281,32,Europe
Uganda,1254,6,Africa
Jordan,1237,11,Asia
Liberia,1224,78,Africa
Cyprus,1222,19,Asia
Georgia,1213,17,Asia
Burkina Faso,1158,54,Africa
Niger,1153,69,Africa
Togo,1012,22,Africa
Syria,999,48,Asia
Malta,995,9,Europe
Jamaica,958,12,North America
Andorra,955,52,Europe
Chad,942,76,Africa
Gambia,935,16,Africa
Sao Tome & Principe,878,15,Africa
Botswana,804,2,Africa
Vietnam,784,10,Asia
Bahamas,761,14,North America
Lesotho,742,23,Africa
San Marino,699,42,Europe
Réunion,671,5,Africa
Channel Islands,597,47,Europe
Guyana,538,22,South America
Tanzania,509,21,Africa
Taiwan,477,7,Asia
Burundi,400,1,Africa
Comoros,396,7,Africa
Myanmar,359,6,Asia
Mauritius,344,10,Africa
Isle of Man,336,24,Europe
Mongolia,293,0,Asia
Faeroe Islands,291,0,Europe
Eritrea,282,0,Africa
Guadeloupe,279,14,North America
Martinique,276,15,North America
Aruba,263,3,North America
Cambodia,243,0,Asia
Trinidad and Tobago,217,8,North America
Cayman Islands,203,1,North America
Gibraltar,190,0,Europe
Papua New Guinea,188,3,Australia/Oceania
Sint Maarten,176,16,North America
Bermuda,157,9,North America
Brunei ,142,3,Asia
Turks and Caicos,141,2,North America
Barbados,133,7,North America
Seychelles,126,0,Africa
Monaco,125,4,Europe
Belize,114,2,North America
Bhutan,108,0,Asia
Antigua and Barbuda,92,3,North America
Liechtenstein,89,1,Europe
French Polynesia,64,0,Australia/Oceania
St. Vincent & Grenadines,56,0,North America
Saint Martin,53,3,North America
Macao,46,0,Asia
Curaçao,31,1,North America
Fiji,27,1,Australia/Oceania
Saint Lucia,25,0,North America
Timor-Leste,25,0,Asia
Grenada,24,0,North America
New Caledonia,22,0,Australia/Oceania
Laos,20,0,Asia
Dominica,18,0,North America
Saint Kitts & Nevis,17,0,North America
Greenland,14,0,North America
Montserrat,13,1,North America
Caribbean Netherlands,13,0,North America
Falkland Islands,13,0,South America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
British Virgin Islands,9,1,North America
Saint Barthelemy,9,0,North America
Saint Pierre & Miquelon,4,0,North America
Anguilla,3,0,North America
 
"Fri, 07 Aug 2020 05:30:28 PM GMT"
 Country , Number of cases , Deaths , Continent 
United States,5050976,163149,North America
Brazil,2927807,98844,South America
India,2085124,42554,Asia
Russia,877135,14725,Europe
South Africa,538184,9604,Africa
Mexico,462690,50517,North America
Peru,455409,20424,South America
Chile,368825,9958,South America
Colombia,357710,11939,South America
Spain,354530,28500,Europe
Iran,322567,18132,Asia
United Kingdom,309005,46511,Europe
Saudi Arabia,285793,3093,Asia
Pakistan,282645,6052,Asia
Bangladesh,252502,3333,Asia
Italy,249756,35190,Europe
Turkey,237265,5798,Asia
Argentina,228195,4291,South America
Germany,215882,9253,Europe
France,195633,30312,Europe
Iraq,144064,5236,Asia
Philippines,122754,2168,Asia
Indonesia,121226,5593,Asia
Canada,118757,8966,North America
Qatar,112383,180,Asia
Kazakhstan,96922,1058,Asia
Egypt,95006,4951,Africa
Ecuador,91969,5897,South America
Bolivia,86423,3465,South America
China,84565,4634,Asia
Sweden,82323,5763,Europe
Oman,81067,502,Asia
Israel,80991,581,Asia
Ukraine,78261,1852,Europe
Dominican Republic,77709,1259,North America
Belgium,72016,9861,Europe
Panama,71418,1574,North America
Kuwait,70727,471,Asia
Belarus,68614,583,Europe
United Arab Emirates,62061,356,Asia
Romania,59273,2616,Europe
Netherlands,57501,6154,Europe
Guatemala,55270,2168,North America
Singapore,54797,27,Asia
Portugal,52351,1746,Europe
Poland,50324,1787,Europe
Honduras,45755,1446,North America
Nigeria,45244,930,Africa
Japan (+Diamond Princess),42975,1039,Asia
Bahrain,42889,158,Asia
Ghana,40097,206,Africa
Armenia,39985,777,Asia
Kyrgyzstan,39162,1451,Asia
Afghanistan,37015,1307,Asia
Switzerland,36269,1986,Europe
Algeria,33626,1273,Africa
Azerbaijan,33376,483,Asia
Morocco,30662,461,Africa
Uzbekistan,28809,179,Asia
Serbia,27608,626,Europe
Moldova,26990,835,Europe
Ireland,26470,1772,Europe
Kenya,24411,399,Africa
Venezuela,23280,202,South America
Nepal,22214,70,Asia
Austria,21837,720,Europe
Costa Rica,21070,200,North America
Ethiopia,20900,365,Africa
Australia,20272,266,Australia/Oceania
El Salvador,19544,520,North America
Czech Republic (Czechia),17896,389,Europe
Cameroon,17718,391,Africa
Côte d'Ivoire,16447,103,Africa
South Korea,14519,303,Asia
Denmark,14442,617,Europe
State of Palestine,13722,94,Asia
Bosnia and Herzegovina,13687,394,Europe
Bulgaria,13014,435,Europe
Madagascar,12708,135,Africa
Sudan,11780,763,Africa
North Macedonia,11554,519,Europe
Senegal,10887,225,Africa
Norway,9503,256,Europe
DR Congo,9355,218,Africa
Malaysia,9063,125,Asia
French Guiana,8127,47,South America
Gabon,7787,51,Africa
Tajikistan,7706,62,Asia
Guinea,7664,49,Africa
Haiti,7582,171,North America
Finland,7554,331,Europe
Zambia,7486,200,Africa
Luxembourg,7113,119,Europe
Mauritania,6444,157,Africa
Paraguay,6375,66,South America
Albania,6151,189,Europe
Lebanon,5672,70,Asia
Croatia,5466,155,Europe
Djibouti,5334,59,Africa
Greece,5270,210,Europe
Libya,4879,107,Africa
Equatorial Guinea,4821,83,Africa
Maldives,4680,19,Asia
Hungary,4621,602,Europe
Central African Republic,4620,59,Africa
Malawi,4491,137,Africa
Zimbabwe,4395,97,Africa
Hong Kong,3939,46,Asia
Nicaragua,3902,123,North America
Montenegro,3549,61,Europe
Congo,3546,58,Africa
Thailand,3345,58,Asia
Somalia,3227,93,Africa
Mayotte,3042,39,Africa
Eswatini,2968,55,Africa
Sri Lanka,2839,11,Asia
Cuba,2829,88,North America
Namibia,2802,16,Africa
Cabo Verde,2734,27,Africa
Mali,2552,124,Africa
Slovakia,2523,31,Europe
South Sudan,2450,47,Africa
Slovenia,2233,125,Europe
Lithuania,2194,81,Europe
Estonia,2133,63,Europe
Mozambique,2120,15,Africa
Rwanda,2111,5,Africa
Suriname,2096,29,South America
Guinea-Bissau,2032,27,Africa
Iceland,1952,10,Europe
Benin,1936,38,Africa
Sierra Leone,1877,67,Africa
Yemen,1768,508,Asia
Tunisia,1642,51,Africa
New Zealand,1569,22,Australia/Oceania
Angola,1483,64,Africa
Uruguay,1318,37,South America
Latvia,1281,32,Europe
Uganda,1254,6,Africa
Jordan,1237,11,Asia
Liberia,1224,78,Africa
Cyprus,1222,19,Asia
Georgia,1213,17,Asia
Burkina Faso,1158,54,Africa
Niger,1153,69,Africa
Togo,1012,22,Africa
Syria,999,48,Asia
Malta,995,9,Europe
Jamaica,958,12,North America
Andorra,955,52,Europe
Chad,942,76,Africa
Gambia,935,16,Africa
Sao Tome & Principe,878,15,Africa
Botswana,804,2,Africa
Vietnam,784,10,Asia
Bahamas,761,14,North America
Lesotho,742,23,Africa
San Marino,699,42,Europe
Réunion,671,5,Africa
Channel Islands,597,47,Europe
Guyana,538,22,South America
Tanzania,509,21,Africa
Taiwan,477,7,Asia
Burundi,400,1,Africa
Comoros,396,7,Africa
Myanmar,359,6,Asia
Mauritius,344,10,Africa
Isle of Man,336,24,Europe
Mongolia,293,0,Asia
Faeroe Islands,291,0,Europe
Eritrea,282,0,Africa
Guadeloupe,279,14,North America
Martinique,276,15,North America
Aruba,263,3,North America
Cambodia,243,0,Asia
Trinidad and Tobago,217,8,North America
Cayman Islands,203,1,North America
Gibraltar,190,0,Europe
Papua New Guinea,188,3,Australia/Oceania
Sint Maarten,176,16,North America
Bermuda,157,9,North America
Brunei ,142,3,Asia
Turks and Caicos,141,2,North America
Barbados,133,7,North America
Seychelles,126,0,Africa
Monaco,125,4,Europe
Belize,114,2,North America
Bhutan,108,0,Asia
Antigua and Barbuda,92,3,North America
Liechtenstein,89,1,Europe
French Polynesia,64,0,Australia/Oceania
St. Vincent & Grenadines,56,0,North America
Saint Martin,53,3,North America
Macao,46,0,Asia
Curaçao,31,1,North America
Fiji,27,1,Australia/Oceania
Saint Lucia,25,0,North America
Timor-Leste,25,0,Asia
Grenada,24,0,North America
New Caledonia,22,0,Australia/Oceania
Laos,20,0,Asia
Dominica,18,0,North America
Saint Kitts & Nevis,17,0,North America
Greenland,14,0,North America
Montserrat,13,1,North America
Caribbean Netherlands,13,0,North America
Falkland Islands,13,0,South America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
British Virgin Islands,9,1,North America
Saint Barthelemy,9,0,North America
Saint Pierre & Miquelon,4,0,North America
Anguilla,3,0,North America
 
"Sun, 27 Sep 2020 05:41:25 PM GMT"
 Country , Number of cases , Deaths , Continent 
United States,7298241,209273,North America
India,6050875,95101,Asia
Brazil,4719099,141503,South America
Russia,1151438,20324,Europe
Colombia,806038,25296,South America
Peru,800142,32142,South America
Spain,735198,31232,Europe
Mexico,726431,76243,North America
Argentina,702484,15543,South America
South Africa,669498,16376,Africa
France,527446,31700,Europe
Chile,457901,12641,South America
Iran,446448,25589,Asia
United Kingdom,434969,41988,Europe
Bangladesh,359148,5161,Asia
Iraq,349450,8990,Asia
Saudi Arabia,333193,4683,Asia
Turkey,314433,7997,Asia
Pakistan,310275,6457,Asia
Italy,309870,35835,Europe
Philippines,304226,5344,Asia
Germany,285732,9534,Europe
Indonesia,275213,10386,Asia
Israel,231026,1466,Asia
Ukraine,198634,3959,Europe
Canada,153058,9268,North America
Ecuador,133981,11273,South America
Bolivia,133592,7828,South America
Qatar,125084,214,Asia
Romania,122673,4718,Europe
Morocco,117685,2069,Africa
Belgium,112803,9974,Europe
Netherlands,111626,6374,Europe
Dominican Republic,111386,2095,North America
Panama,110108,2323,North America
Kazakhstan,107723,1699,Asia
Kuwait,103544,601,Asia
Egypt,102736,5869,Africa
Oman,97450,909,Asia
United Arab Emirates,91469,412,Asia
Sweden,90923,5880,Europe
Guatemala,90092,3229,North America
Poland,87330,2432,Europe
China,85351,4634,Asia
Japan (+Diamond Princess),81767,1553,Asia
Belarus,77609,818,Europe
Honduras,74548,2288,North America
Portugal,73604,1953,Europe
Nepal,73394,477,Asia
Ethiopia,72700,1165,Africa
Costa Rica,72049,828,North America
Venezuela,71940,600,South America
Bahrain,68775,242,Asia
Czech Republic (Czechia),64012,601,Europe
Nigeria,58198,1106,Africa
Singapore,57700,27,Asia
Uzbekistan,55320,458,Asia
Switzerland,51864,2064,Europe
Algeria,51067,1714,Africa
Moldova,50875,1287,Europe
Armenia,49400,951,Asia
Ghana,46387,299,Africa
Kyrgyzstan,46251,1063,Asia
Austria,42876,787,Europe
Azerbaijan,40023,586,Asia
Afghanistan,39227,1453,Asia
State of Palestine,38703,291,Asia
Kenya,38115,691,Africa
Paraguay,37922,782,South America
Lebanon,36254,347,Asia
Ireland,34990,1802,Europe
Serbia,33384,747,Europe
Libya,32364,520,Africa
El Salvador,28630,826,North America
Australia,27040,872,Australia/Oceania
Bosnia and Herzegovina,26920,822,Europe
Denmark,26637,649,Europe
Hungary,24014,736,Europe
South Korea,23611,401,Asia
Cameroon,20735,418,Africa
Bulgaria,19997,789,Europe
CÃ´te d'Ivoire,19600,120,Africa
North Macedonia,17629,725,Europe
Greece,17444,379,Europe
Madagascar,16285,229,Africa
Croatia,16197,272,Europe
Tunisia,15178,207,Africa
Senegal,14909,308,Africa
Zambia,14612,332,Africa
Norway,13660,270,Europe
Sudan,13606,836,Africa
Albania,13259,377,Europe
Namibia,11033,120,Africa
Malaysia,10919,134,Asia
Myanmar,10734,226,Asia
DR Congo,10593,271,Africa
Guinea,10512,65,Africa
Montenegro,10313,158,Europe
Maldives,10098,34,Asia
French Guiana,9863,65,South America
Finland,9682,343,Europe
Tajikistan,9646,75,Asia
Slovakia,9078,44,Europe
Gabon,8728,54,Africa
Haiti,8723,227,North America
Jordan,8492,45,Asia
Luxembourg,8357,124,Europe
Mozambique,7983,58,Africa
Zimbabwe,7803,227,Africa
Uganda,7530,73,Africa
Mauritania,7462,161,Africa
Jamaica,6017,89,North America
Malawi,5766,179,Africa
Cabo Verde,5701,56,Africa
Cuba,5457,122,North America
Eswatini,5419,108,Africa
Djibouti,5409,61,Africa
Slovenia,5350,147,Europe
Georgia,5254,28,Asia
Nicaragua,5073,149,North America
Hong Kong,5066,105,Asia
Equatorial Guinea,5028,83,Africa
Congo,5005,89,Africa
Suriname,4831,102,South America
Rwanda,4811,29,Africa
Central African Republic,4806,62,Africa
Angola,4672,171,Africa
Guadeloupe,4487,42,North America
Lithuania,4385,91,Europe
Trinidad and Tobago,4321,70,North America
Syria,4038,188,Asia
Bahamas,3838,89,North America
Aruba,3832,25,North America
RÃ©union,3685,11,Africa
Somalia,3588,99,Africa
Gambia,3564,110,Africa
Mayotte,3541,40,Africa
Thailand,3523,59,Asia
Sri Lanka,3360,13,Asia
Estonia,3200,64,Europe
Mali,3080,130,Africa
Malta,2979,31,Europe
Botswana,2921,16,Africa
Guyana,2725,74,South America
South Sudan,2686,49,Africa
Iceland,2623,10,Europe
Benin,2325,40,Africa
Guinea-Bissau,2324,39,Africa
Sierra Leone,2208,72,Africa
Yemen,2030,587,Asia
Uruguay,1998,47,South America
Burkina Faso,1973,56,Africa
Andorra,1836,53,Europe
New Zealand,1833,25,Australia/Oceania
Belize,1825,24,North America
Togo,1736,46,Africa
Cyprus,1696,22,Asia
Latvia,1676,36,Europe
French Polynesia,1579,6,Australia/Oceania
Lesotho,1558,35,Africa
Liberia,1339,82,Africa
Martinique,1290,20,North America
Niger,1194,69,Africa
Chad,1177,83,Africa
Vietnam,1074,35,Asia
Sao Tome & Principe,911,15,Africa
San Marino,727,42,Europe
Turks and Caicos,681,5,North America
Channel Islands,656,48,Europe
Sint Maarten,633,22,North America
Papua New Guinea,532,7,Australia/Oceania
Taiwan,510,7,Asia
Tanzania,509,21,Africa
Burundi,485,1,Africa
Comoros,478,7,Africa
Faeroe Islands,460,0,Europe
Saint Martin,383,8,North America
Gibraltar,379,0,Europe
Eritrea,375,0,Africa
Mauritius,367,10,Africa
CuraÃ§ao,360,1,North America
Isle of Man,340,24,Europe
Mongolia,313,0,Asia
Cambodia,276,0,Asia
Bhutan,271,0,Asia
Monaco,210,2,Europe
Cayman Islands,210,1,North America
Barbados,190,7,North America
Bermuda,181,9,North America
Brunei ,146,3,Asia
Seychelles,143,0,Africa
Liechtenstein,117,1,Europe
Antigua and Barbuda,101,3,North America
Caribbean Netherlands,85,1,North America
British Virgin Islands,71,1,North America
St. Vincent & Grenadines,64,0,North America
Saint Barthelemy,48,0,North America
Macao,46,0,Asia
Fiji,32,2,Australia/Oceania
Dominica,30,0,North America
New Caledonia,27,0,Australia/Oceania
Timor-Leste,27,0,Asia
Saint Lucia,27,0,North America
Grenada,24,0,North America
Laos,23,0,Asia
Saint Kitts & Nevis,19,0,North America
Saint Pierre & Miquelon,16,0,North America
Greenland,14,0,North America
Montserrat,13,1,North America
Falkland Islands,13,0,South America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Anguilla,3,0,North America
 
